PropertyAddress,MoveOut,MoveIn
907-B Rome Ave,7/31/2019,8/10/2019
2707 Lawndale,7/31/2019,8/1/2019
2707 Lawndale,7/31/2019,
9435 Oglebay,7/31/2019,
1001 Edith,7/31/2019,
914-4 Monmouth,7/31/2019,
1222 Nicklaus,7/31/2019,
3614 Wishart St,7/31/2019,
133 Cornwallis,7/31/2019,
17-A Alamo Ct,7/31/2019,
1832 Forest Green,7/31/2019,
1603-A W Club,7/31/2019,
913-B Iredell,7/31/2019,
915-A Buchanan,7/31/2019,
912 Arnette,7/31/2019,
102 W Club,7/31/2019,
1008 Hale,7/31/2019,
2008 Englewood,7/31/2019,
4113 Converse,7/31/2019,
909A Rosehill,7/31/2019,
1309 Norton,8/7/2019,8/8/2019
300 W Lavender,8/7/2019,
300 W Lavender,8/7/2019,
1113 Ninth,8/15/2019,8/23/2019
810-A Gerard,8/16/2019,
1011-B N Buchanan,8/20/2019,8/23/2019
2707 A Lawndale,1/1/2025,1/1/2025
2707 B Lawndale,1/1/2025,1/1/2025
2707 A Lawndale,1/1/2025,1/1/2025
2707 B Lawndale,1/1/2025,1/1/2025
2707 Lawndale,1/1/2025,1/1/2025
4619 Paces Ferry,1/1/2025,1/1/2025
635B W Club,1/1/2025,1/1/2025
104 Hammond,1/1/2025,1/1/2025
104 Hammond,1/1/2025,1/1/2025
2707 Lawndale,1/1/2025,4/1/2017
2511 Preston,1/1/2025,8/4/2016
913-B Edith,1/1/2025,2/1/2015
903 N Duke,1/1/2025,2/1/2015
913-B Edith,1/1/2025,2/1/2015
905-B Rosehill,1/1/2025,1/20/2015
3920 Cole Mill,1/1/2025,11/7/2014
908 Hale St ,1/1/2025,8/2/2014
913 B Rosehill,1/1/2025,7/1/2014
13 Tabernacle,1/1/2025,6/15/2014
3238 Pickett Rd,1/1/2025,6/1/2014
3503 Cole Mill Rd,1/1/2025,5/9/2014
1011-2 Morreene,1/1/2025,
603 Red Cedar,1/1/2025,
801 Green,,1/1/2025
104-B W Club,,1/1/2025
2629 Lawndale Ave,,1/1/2025
911-A Rosehill,,1/1/2025
2629 Lawndale Ave,,1/1/2025
911-A Rosehill,,1/1/2025
104-B W Club,,1/1/2025
104-B W Club,,1/1/2025
414 Clayton,,1/1/2025
1002-B Monmouth,,8/20/2019
132 Blue Crest,,7/1/2019
11 Sugar Creek,,7/1/2019
12529 Norwood,,6/29/2019
410 Newsom,,6/20/2019
772 Durham,,6/14/2019
46 Redbud,,6/1/2019
806-B Rosehill,,5/1/2019
216 Basset Hall,,5/1/2019
2815 State St,,4/23/2019
1714 Roxboro,,4/15/2019
215 Hargrove,,4/1/2019
5728 Greenbay Dr,,3/23/2019
2421-A Camellia Dr,,3/19/2019
3307 N Duke,,3/15/2019
406 Auburn,,2/7/2019
2823-B Broad St,,2/1/2019
2145 Winkler,,2/1/2019
104 W. Chestnut,,12/1/2018
805 Glendale,,12/1/2018
14 Braddock,,11/15/2018
1211 Westview Lane Unit 107,,11/9/2018
816 Northwood Hills,,11/1/2018
60 Justin Court,,11/1/2018
4853 Forest Highland,,10/28/2018
1202 Marne,,10/15/2018
916-A Alabama,,10/12/2018
2322 Charles,,10/5/2018
133 W Cornwalls,,8/15/2018
1212 East Pointe,,8/15/2018
104B W Club,,8/4/2018
119 Jennel Way,,8/1/2018
1007 River Forest,,7/30/2018
1620 N Duke St,,7/1/2018
1201 Marne,,7/1/2018
101 E Maynard,,7/1/2018
2708 Lawndale,,6/18/2018
101-A E Maynard,,6/13/2018
822-A Green,,6/4/2018
802-3 Cleveland ,,6/1/2018
802-2 Cleveland,,6/1/2018
3 Meadowbrook,,5/14/2018
407-A Swift,,5/11/2018
2602 E Geer,,5/11/2018
916-B Alabama,,5/11/2018
2708-A Lawndale,,5/4/2018
1700 Ward,,5/4/2018
1115 Berkley St,,5/1/2018
802-1 Cleveland,,4/15/2018
216 Basset Hall,,4/13/2018
2806 Shenandoah,,3/29/2018
405 W Carver,,3/28/2018
2215 Shoreham,,3/26/2018
3814 Pendergrass,,2/15/2018
7115 Matthews,,1/15/2018
5490 Arthur Minnis,,1/1/2018
2012 Stadium Dr,,12/8/2017
2833 Duke Homestead,,11/6/2017
822-A Green St,,11/5/2017
822-B Green St,,11/4/2017
311 Swift ,,11/1/2017
824-A Green St,,10/2/2017
992 Stoney Mountain,,9/1/2017
708 W Club,,9/1/2017
6205 Mt Hermon Church,,9/1/2017
500 N Duke 55-105,,8/31/2017
1832 Forest,,8/15/2017
2608 Erwin Rd #140,,8/12/2017
1001 Iredell St,,8/5/2017
710 W Club,,7/29/2017
37 Forest Green,,7/29/2017
1110 Watts,,7/15/2017
2308 Albany,,7/1/2017
2637 Camellia,,7/1/2017
1304 Cozart,,6/15/2017
911-B Rosehill,,6/1/2017
3205 Hope Valley,,6/1/2017
1139 Searstone,,5/31/2017
2602 E Geer St,,5/1/2017
2408 McGehee,,4/17/2017
15 Moss Grove,,4/1/2017
86 Stone Hill,,3/31/2017
1800-B N Alston,,3/1/2017
16 Chownings,,2/22/2017
1003 Eno St,,2/15/2017
1104 Moreland,,2/13/2017
1002-B Monmouth,,1/27/2017
1002-B Monmouth,,1/27/2017
421 Harkness,,1/1/2017
5492 Montgomery Pl,,1/1/2017
2801 Butner St,,1/1/2017
918 Cinnamon,,1/1/2017
911-A Rosehill,,12/19/2016
12 Bonsell,,12/16/2016
300 Woodcroft,,12/1/2016
1426 Hudson,,12/1/2016
4605 Reigal Wood,,11/1/2016
44 Justin Court,,10/27/2016
923 Obsidian,,10/22/2016
1205 Marne,,10/15/2016
407-A Swift ,,10/1/2016
1713 Avondale,,10/1/2016
312-303 N Buchanan,,10/1/2016
4100 Five Oaks,,10/1/2016
1800-A N Alston,,9/30/2016
3903 Olde Coach,,9/1/2016
905-A Rosehill,,8/30/2016
2020A Englewood,,8/7/2016
303 Intern,,8/5/2016
630 W Club,,8/1/2016
5500-68A Fortunes,,7/22/2016
3019 Banner St,,7/18/2016
3 Gardenview,,7/9/2016
1710 N Roxboro,,7/8/2016
2629 Lawndale Ave,,7/1/2016
918 Cinnamon,,7/1/2016
2631 Lawndale Ave,,6/15/2016
116B Edgewood,,6/15/2016
901 Washington,,6/15/2016
908-A Onslow,,6/11/2016
16 Riverwalk,,6/10/2016
823 Saratoga,,6/1/2016
1001 Edith,,6/1/2016
4110 Chaucer,,5/20/2016
803-D Lancaster,,5/15/2016
1007 Ninth,,5/1/2016
109 W Main,,5/1/2016
2801 Elgin,,5/1/2016
1019-B Ninth,,4/29/2016
213 Northwoods,,4/23/2016
3 Colindale,,4/15/2016
3 Meadowbrook,,4/15/2016
128 Tressel Court,,3/29/2016
1712 N Roxboro,,3/28/2016
908 Vickers,,3/2/2016
2513 Preston,,3/1/2016
1000 W Forest Hills,,3/1/2016
1802 Alston,,2/1/2016
1202 Marne,,12/18/2015
2100 Ferrell,,12/15/2015
1310B Marne,,11/1/2015
2718 Omah,,10/15/2015
914-3 Monmouth,,9/4/2015
116 1/2 Edgewood,,9/1/2015
914-4 Monmouth,,8/15/2015
914-1 Monmouth,,8/15/2015
914-2 Monmouth,,8/15/2015
500 N. Duke St,,8/1/2015
2602 Bullock,,7/17/2015
713 W Knox,,7/10/2015
303 Intern Way,,7/10/2015
4214-D Oran,,6/22/2015
312-202 Buchanan,,5/28/2015
312-302 Buchanan,,5/20/2015
1710 James St,,5/9/2015
801-B Green,,5/8/2015
1021 Carolina,,5/1/2015
708 Lynn,,4/28/2015
1007 1/2 Rosehill,,4/18/2015
312-301 Buchanan,,4/15/2015
1021-A Carolina,,4/7/2015
801-A Green,,4/3/2015
1021-A Carolina,,3/1/2015
312-407 Buchanan,,3/1/2015
312-402 Buchanan,,3/1/2015
9301 Johnson Mill,,2/28/2015
1823 James,,2/20/2015
312-106 Buchanan,,2/20/2015
4418 Talcott,,2/5/2015
8 Porter Circle,,2/1/2015
5018-A Green Oak,,2/1/2015
312-304 Buchanan,,1/31/2015
1003-B Broad,,1/29/2015
1716 James,,1/23/2015
414 Clayton,,1/21/2015
6201 Mt Herman,,12/27/2014
323 Goodwin,,12/10/2014
6205 Mt Herman Ch,,12/2/2014
11 Woodward,,11/30/2014
810-B Gerard,,11/14/2014
1403 Georgia,,11/1/2014
810-A Gerard,,11/1/2014
1022 Ninth,,11/1/2014
18 Fashion,,10/30/2014
2204 B Caroline,,10/17/2014
2204 A Caroline,,10/13/2014
116-A Edgewood,,10/3/2014
1123 Iredell,,9/11/2014
416-A Edwards,,8/1/2014
2402A Stadium,,7/19/2014
1104 Fiske,,7/18/2014
615 Hollyridge,,7/3/2014
1207 Champions,,
1716 James,,
1021 Carolina,,
312-407 Buchanan,,
312-106 Buchanan,,
312-301 Buchanan,,
312-304 Buchanan,,
4418 Talcott,,
1003-B Broad,,
914-4 Monmouth,,
9301 Johnson Mill,,
8 Porter Circle,,
312-202 Buchanan,,
312-302 Buchanan,,
312-402 Buchanan,,
1000 W Forest Hills,,
6201 Mt Herman Rd,,
1712 James,,
911-B Rosehill,,
2602 E Geer St,,
407-A Swift Ave,,
3128 Gibson Rd,,
1003 Eno St,,
410 Hill,,
3814 Pendergrass,,
2708 Lawndale,,
2708-A Lawndale,,
405 W Carver,,
1005 Morning Glory,,
1503 Virginia Ave,,
1503 Virginia Ave,,
907 Hale,,
6205 Mt Hermon ,,
2801 Butner St,,
216 W Trinity,,
